452 4
2.27155 2.69708 | -3.62518e-05 -8.6977 139.938 
2.28998 2.50409 | -0.00541255 -6.2601 137.678 
2.70441 2.50372 | -0.0029588 -9.11733 142.783 
2.65289 2.60126 | -0.000813658 -9.87655 196.094 
2.73383 2.71429 | 0.00328057 
2.55402 2.74664 | 0.00267432 
2.80157 2.91266 | 0.0104509 
2.99994 2.74994 | 0.00792213 
2.77179 2.70038 | 0.00328079 
2.83734 2.57343 | 0.00042501 
2.81244 2.56244 | -0.000186786 -10.999 48.9218 
2.83734 2.55157 | -0.000170419 -11.1454 26.936 
2.89825 2.55426 | 0.0007158 
2.95709 2.58478 | 0.00240798 
2.966 2.53546 | 0.00120218 
2.96552 2.47504 | -0.000382682 -11.7883 -48.9817 -0.11292 
2.93695 2.27972 | -0.005411 -9.08922 -60.3978 -0.494935 
2.8703 2.27374 | -0.00647774 -8.18464 -25.4913 -0.497903 
2.75238 2.28693 | -0.00763467 -7.00616 76.4771 
2.76031 2.40936 | -0.00473489 -8.52701 81.2495 
2.67462 2.39679 | -0.00592429 -7.52202 158.118 
2.68719 2.3559 | -0.00676546 -7.15504 143.282 
2.54364 2.09918 | -0.0132338 -3.06881 204.321 
2.80157 2.16266 | -0.00961396 -6.15469 18.5318 
2.81256 2.18756 | -0.00899492 -6.54867 11.3277 
2.86212 2.22821 | -0.00754378 -7.57379 -24.3011 -0.612301 
2.82343 2.16266 | -0.00934629 -6.40127 -0.480309 -0.751935 
2.95038 2.22821 | -0.00629716 -8.68466 -69.937 -0.632404 
2.91364 2.10907 | -0.00914317 -6.91717 -67.5281 -0.892605 
3.00006 2.00006 | -0.00969805 -6.9459 -99.9939 -1 
3.07001 2.05695 | -0.00758731 -8.52837 -80.0422 -0.964279 
3.00177 2.12042 | -0.00759988 -8.20953 -87.9489 -0.885965 
3.05804 2.19 | -0.00533655 -9.76429 -71.1471 -0.728812 
3.12506 2.12506 | -0.00538524 -10.0797 -43.5463 -0.849789 
3.12506 2.18756 | -0.00418985 -10.7536 -37.2963 -0.716551 
3.18756 2.18756 | -0.00299446 -11.7573 11.3698 
3.24994 2.12494 | -0.00292116 -12.138 62.3947 
3.25006 2.00006 | -0.00507274 -10.8524 50.0219 
3.37799 2.1098 | -0.000345977 -14.3147 168.989 
3.25006 2.25006 | -0.000447436 -13.5087 75.0219 
3.31256 2.31256 | 0.00225584 
3.37506 2.25006 | 0.00233397 
3.37506 2.37506 | 0.00511537 
3.24994 2.49994 | 0.00542213 
3.23248 2.35223 | 0.00143664 
3.2276 2.28412 | -0.000187248 -13.5083 57.3294 
3.17389 2.29437 | -0.00103889 -12.7299 10.3724 
3.15485 2.31805 | -0.000882236 -12.695 -2.65921 -0.381848 
3.08759 2.36639 | -0.00101717 -12.2137 -41.234 -0.285737 
3.02277 2.39252 | -0.00150959 -11.5746 -59.2213 -0.237709 
3.06683 2.45624 | 0.000795337 
3.00006 2.50006 | 0.000802564 
3.09113 2.66974 | 0.00704237 
3.14545 2.77386 | 0.0112092 
3.50006 2.50006 | 0.0113032 
3.94611 2.50177 | 0.0249349 
3.99994 1.99994 | 0.0162968 
3.72931 1.72272 | 0.0036202 
3.72333 1.6098 | 0.00238465 
3.67804 1.54572 | 0.0005412 
3.60895 1.61896 | -0.000893408 -14.5297 128.135 
3.53192 1.76019 | -0.00162169 -14.0428 173.022 
3.48553 1.94415 | -0.000436372 -14.7744 193.792 
3.35785 1.82721 | -0.00515994 -11.1506 126.729 
3.21136 1.96808 | -0.00637197 -9.87364 10.7121 
3.21393 1.90619 | -0.00723247 -9.31738 6.87271 
3.18634 1.92731 | -0.00748157 -9.05992 -15.7168 -0.893102 
3.14386 1.90204 | -0.0086627 -8.13059 -52.6093 -0.889681 
3.07953 1.95404 | -0.00907852 -7.63862 -86.273 -0.970959 
3.01605 1.90033 | -0.010936 -6.19731 -109.208 -0.925375 
3.09357 1.81866 | -0.0106879 -6.57363 -92.9705 -0.765444 
3.18451 1.78778 | -0.00935255 -7.73389 -31.2548 -0.663912 
3.18976 1.69635 | -0.0102402 -7.02404 -35.8326 -0.468981 
3.07648 1.68793 | -0.0124371 -5.16999 -114.238 -0.480898 
3.06281 1.5672 | -0.0137073 -3.98442 -131.766 -0.251667 
3.1778 1.55682 | -0.0116659 -5.6926 -60.094 -0.222378 
3.24493 1.61285 | -0.00987664 -7.26617 6.47016 
3.30914 1.54938 | -0.00897737 -7.9032 59.3643 
3.42816 1.67633 | -0.00514728 -11.1894 152.59 
3.44537 1.45868 | -0.0063213 -9.82703 137.103 
3.33148 1.31354 | -0.00956858 -6.62487 54.7993 
3.30609 1.42963 | -0.00973834 -6.95593 44.6993 
3.36871 1.49701 | -0.00795895 -8.61215 101.463 
3.18951 1.44281 | -0.0121191 -5.03025 -61.4003 -0.0933723 
3.07184 1.32343 | -0.0147466 -2.35667 -152.651 -0.0291139 
3.19366 1.20355 | -0.0126262 -3.51603 -81.6755 -0.00431072 
3.08417 1.0788 | -0.0145356 -1.07214 -171.648 -0.000103291 
3.27191 1.03217 | -0.0107284 -3.89785 -26.2393 -2.4914e-06 
3.35248 1.08466 | -0.0090849 -5.64395 48.4764 
3.29547 1.14911 | -0.0104735 -4.95561 7.14461 
3.43085 1.15558 | -0.00733042 -7.55593 101.6 
3.55585 1.01447 | -0.00377255 -9.38299 92.3234 
3.63251 1.16986 | -0.00197014 -11.9289 67.9716 
3.51019 1.28192 | -0.00526684 -9.94638 127.888 
3.64105 1.38104 | -0.00140592 -13.4699 82.9923 
3.69696 1.45428 | 0.000555513 
3.7348 1.34833 | 0.00127619 
3.77069 1.27728 | 0.00223043 
3.93793 1.27325 | 0.00775757 
3.99994 0.999939 | 0.010298 
3.69733 0.937805 | 0.000607333 
3.64484 0.89325 | -0.000683518 -10.7828 31.4244 
3.59711 0.937927 | -0.0022941 -9.91281 66.7572 
3.59979 0.848206 | -0.00166822 -9.5718 56.3181 
3.61444 0.755188 | -0.000514992 -9.52591 38.4174 
3.6601 0.836365 | 0.000141086 
3.71747 0.759583 | 0.00246677 
3.65814 0.69635 | 0.00129842 
3.55377 0.738464 | -0.00204286 -8.12865 65.383 
3.5368 0.637878 | -0.00146974 -7.41838 59.8064 
3.50018 0.561218 | -0.00151482 -6.41623 56.1218 
3.63495 0.528992 | 0.0025933 
3.66888 0.58429 | 0.0028672 
3.99994 0.499939 | 0.0147987 
3.74994 0.249939 | 0.0105493 
3.50006 0.250061 | 0.00342543 
3.62506 0.375061 | 0.00461323 
3.62494 0.499939 | 0.00270537 
3.56244 0.437439 | 0.00187739 
3.49994 0.499939 | -0.000700732 -6.24858 49.9939 
3.37494 0.499939 | -0.00379433 -3.75302 5.98728 
3.31244 0.437439 | -0.0043098 -2.44016 -48.9469 -0.200346 
3.37494 0.374939 | -0.00188793 -3.47962 -6.51272 -0.263603 
3.31244 0.312439 | -0.00224715 -2.20582 -61.4469 -0.395174 
3.31256 0.250061 | -0.00109824 -2.12033 -67.5784 -0.50964 
3.37506 0.250061 | 0.000331525 
3.49994 0.249939 | 0.00342457 
3.37494 0.124939 | 0.00286238 
3.25006 0.125061 | 8.12196e-05 
3.31256 0.187561 | 0.000128247 
3.31244 0.249939 | -0.00109864 -2.11795 -67.6969 -0.509951 
3.24994 0.249939 | -0.00245012 -1.00581 -125.105 -0.550174 
3.18744 0.249939 | -0.00372348 0.0520812 
3.18744 0.187439 | -0.00249684 0.120421 
3.18756 0.125061 | -0.00119229 0.167141 
3.24994 0.124939 | 8.12806e-05 
3.18744 0.062439 | 0.000190808 
3.12494 0.124939 | -0.00238732 1.17287 
3.00006 0.250061 | -0.00707518 2.89838 
3.00006 0.500061 | -0.0111999 2.42956 
3.00409 0.641541 | -0.0129156 1.96971 
3.09344 0.697571 | -0.0119932 0.48056 
3.14532 0.645569 | -0.0104897 -0.151403 -177.168 -0.0404349 
3.28302 0.50824 | -0.00598535 -2.0773 -68.3199 -0.126685 
3.31793 0.607483 | -0.00649151 -2.98471 -27.1933 -0.0508682 
3.37726 0.558533 | -0.00452583 -3.9524 13.382 
3.39069 0.685364 | -0.00567416 -4.60492 34.4955 
3.48761 0.714783 | -0.00356625 -6.64522 71.0202 
3.33478 0.73175 | -0.00743022 -3.71109 -0.686993 -0.0110352 
3.2912 0.79071 | -0.00891767 -3.14079 -32.5737 -0.00435365 
3.34308 0.844666 | -0.00817109 -4.31046 17.2383 
3.3963 0.792419 | -0.00652741 -5.10911 48.4851 
3.3952 0.936951 | -0.00752296 -5.71268 62.3073 
3.3139 0.999695 | -0.00969096 -4.48697 8.55208 
3.30585 0.894226 | -0.00933604 -3.84102 -9.05681 -0.000279199 
3.24176 0.96698 | -0.0111044 -3.04574 -61.1057 -2.86031e-06 
3.10468 0.854431 | -0.0131214 -0.299489 -183.29 -0.00119312 
3.03156 0.802429 | -0.0140045 1.00064 
3.01654 0.879089 | -0.0148028 0.891931 
2.99994 0.999939 | -0.0157007 0.556708 
2.84186 0.800354 | -0.016783 3.47688 
2.82074 0.523376 | -0.0140686 4.63732 
2.70612 0.870056 | -0.0188498 4.64501 
2.01556 0.845886 | -0.0209059 8.20951 
2.42291 0.589417 | -0.018275 7.88942 
2.22162 0.257507 | -0.0136124 9.49315 
2.54095 0.111145 | -0.00948145 7.93695 
2.79584 0.34491 | -0.011638 5.30428 
2.99994 -6.10352e-05 | -0.00169951 3.0564 
2.84015 -0.0692749 | -0.00229151 5.08626 
2.97333 -0.162903 | 0.0020554 
2.90765 -0.457947 | 0.00999561 
2.86139 -0.319641 | 0.00496745 
2.66266 -0.473938 | 0.00766121 
2.5871 -0.276672 | 0.000804055 
2.49994 -6.10352e-05 | -0.0071989 8.26431 
2.24994 -0.250061 | -0.00144829 9.40986 
2.25006 -0.499939 | 0.00642299 
2.49994 -0.500061 | 0.00730171 
2.00677 -0.680603 | 0.01324 
2.35663 -0.864075 | 0.0203494 
3.00006 -0.999939 | 0.0322983 
3.50006 -0.499939 | 0.0232995 
3.99994 -0.500061 | 0.0387999 
3.74994 -0.750061 | 0.0395505 
0.892395 0.874207 | -0.00434028 -0.429959 -179.597 -1.45456 
0.941176 0.941176
